label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.0,0.0,0.0,0.2904481589794159,-0.040189478546381,-0.20822465419769287,0.5858014225959778,-0.33253172039985657,-0.27424201369285583,0.7864812016487122,-0.6562994122505188,-0.304821252822876,0.9888477325439453,-0.8314257860183716,-0.29191476106643677,0.5088304281234741,-0.8701823353767395,-0.12659671902656555,0.4069177508354187,-0.9895811080932617,-0.2781207263469696,0.3670339584350586,-0.6703448295593262,-0.3314724564552307,0.4222620725631714,-0.6311559677124023,-0.3466557562351227,0.3104715645313263,-0.9484653472900391,-0.06341131031513214,0.19592134654521942,-1.0186861753463745,-0.21318824589252472,0.18632949888706207,-0.6361903548240662,-0.20522089302539825,0.27329444885253906,-0.6439501643180847,-0.167803093791008,0.11718980967998505,-0.9877973198890686,-0.0357426255941391,0.007082220166921616,-1.0521923303604126,-0.19483447074890137,0.009399238973855972,-0.6925767064094543,-0.12912730872631073,0.10659053176641464,-0.6765223741531372,-0.048897501081228256,-0.06830636411905289,-1.0050008296966553,-0.026556584984064102,-0.14352455735206604,-1.0393729209899902,-0.1111326590180397,-0.128861203789711,-0.7762037515640259,-0.06611424684524536,-0.054869700223207474,-0.7140403985977173,-0.006426855456084013
A,0.0,0.0,0.0,0.286744087934494,-0.09129192680120468,-0.1771843582391739,0.5302995443344116,-0.40650954842567444,-0.22346143424510956,0.6009122133255005,-0.773669958114624,-0.24063605070114136,0.6537364721298218,-1.03488028049469,-0.223682701587677,0.3977144658565521,-0.9044294357299805,-0.0823468565940857,0.2995370924472809,-0.9195258617401123,-0.2032453566789627,0.300982266664505,-0.6547430157661438,-0.2484063059091568,0.3288199007511139,-0.6273993253707886,-0.2602435350418091,0.20346230268478394,-0.9786441326141357,-0.02930338867008686,0.07520831376314163,-0.8899568915367126,-0.1405632048845291,0.11615674197673798,-0.5557501316070557,-0.13941793143749237,0.1801028996706009,-0.5888122916221619,-0.11331409960985184,0.02007320150732994,-0.9765700697898865,-0.007363263983279467,-0.1026282012462616,-0.909266471862793,-0.13730904459953308,-0.051379669457674026,-0.5929035544395447,-0.08809906989336014,0.027272595092654228,-0.5923539400100708,-0.025639411062002182,-0.15655401349067688,-0.9401283860206604,-0.0010566184064373374,-0.24209018051624298,-0.913408637046814,-0.08171060681343079,-0.20017439126968384,-0.6865846514701843,-0.048204243183135986,-0.13680732250213623,-0.6549625396728516,0.003082120791077614
A,0.0,0.0,0.0,-0.30022627115249634,-0.19348494708538055,-0.11328805238008499,-0.4173681437969208,-0.5868199467658997,-0.1419244259595871,-0.41626235842704773,-0.9318594932556152,-0.1601601094007492,-0.42319294810295105,-1.173636794090271,-0.14581111073493958,-0.17639219760894775,-1.0129677057266235,-0.01911785826086998,-0.3083580732345581,-1.00419282913208,-0.14127984642982483,-0.28922590613365173,-0.6705073118209839,-0.19903771579265594,-0.24376435577869415,-0.6140324473381042,-0.22983276844024658,0.022198397666215897,-0.9996076822280884,-0.017079412937164307,-0.13682007789611816,-0.9426206946372986,-0.13374482095241547,-0.15254288911819458,-0.5741128921508789,-0.13312317430973053,-0.08895892649888992,-0.579620361328125,-0.11195909231901169,0.20413723587989807,-0.8967583775520325,-0.04464837163686752,0.06744395196437836,-0.865003228187561,-0.1726716011762619,0.010397748090326786,-0.5393084287643433,-0.09570636600255966,0.0707019492983818,-0.5399031639099121,-0.018955478444695473,0.3680885434150696,-0.7562607526779175,-0.08687056601047516,0.26035550236701965,-0.7630808353424072,-0.16005250811576843,0.17770060896873474,-0.5537667870521545,-0.1057695671916008,0.2124725878238678,-0.5321522355079651,-0.047324150800704956
B,0.0,0.0,0.0,0.21784311532974243,-0.11317902058362961,-0.1395970731973648,0.33582180738449097,-0.4047527313232422,-0.18471428751945496,0.20365388691425323,-0.6760760545730591,-0.21456041932106018,0.05596539378166199,-0.7840340733528137,-0.23846986889839172,0.3906205892562866,-0.8830779790878296,-0.07244914025068283,0.44471898674964905,-1.2632354497909546,-0.12884321808815002,0.45765966176986694,-1.4947491884231567,-0.18714243173599243,0.46432796120643616,-1.7011513710021973,-0.23281052708625793,0.2488427758216858,-0.966844379901886,-0.0573519803583622,0.30851316452026367,-1.3797452449798584,-0.09690365195274353,0.3360752761363983,-1.6500927209854126,-0.155207097530365,0.3611820936203003,-1.887675404548645,-0.2008143961429596,0.11478570103645325,-0.959324836730957,-0.060165271162986755,0.15202683210372925,-1.3314131498336792,-0.0988500714302063,0.18821240961551666,-1.5704034566879272,-0.1514897346496582,0.21546721458435059,-1.7671868801116943,-0.18900151550769806,-0.022426744922995567,-0.8781964182853699,-0.0788424164056778,0.0029737004078924656,-1.1731630563735962,-0.10948426276445389,0.03482880815863609,-1.3518568277359009,-0.12751497328281403,0.06360213458538055,-1.506117582321167,-0.14151842892169952
B,0.0,0.0,0.0,-0.22464525699615479,-0.15614894032478333,-0.084957055747509,-0.3309953510761261,-0.4986128509044647,-0.12472232431173325,-0.1810435652732849,-0.7623937129974365,-0.16267003118991852,0.0069419811479747295,-0.7835102677345276,-0.20387279987335205,-0.28890958428382874,-0.9423821568489075,-0.044237080961465836,-0.2959495484828949,-1.3109856843948364,-0.09998949617147446,-0.2732006907463074,-1.530791997909546,-0.15948404371738434,-0.2384341061115265,-1.725290298461914,-0.21146340668201447,-0.13448627293109894,-0.9890536069869995,-0.06071532517671585,-0.13661539554595947,-1.3977479934692383,-0.09893833100795746,-0.11688235402107239,-1.6421321630477905,-0.14451520144939423,-0.09450624138116837,-1.8526813983917236,-0.1839975267648697,0.01496533490717411,-0.952902615070343,-0.09293971955776215,0.013514752499759197,-1.3327207565307617,-0.12982504069805145,0.021124064922332764,-1.5656005144119263,-0.16668559610843658,0.028217189013957977,-1.7775682210922241,-0.19935274124145508,0.15920573472976685,-0.8506428003311157,-0.13858242332935333,0.151816725730896,-1.1597168445587158,-0.17272968590259552,0.15561898052692413,-1.3496509790420532,-0.1867426186800003,0.16113759577274323,-1.523147463798523,-0.20234742760658264
B,0.0,0.0,0.0,0.24572685360908508,-0.2231655716896057,-0.11046811193227768,0.33202213048934937,-0.5813014507293701,-0.13722680509090424,0.16051027178764343,-0.8506661057472229,-0.15844522416591644,-0.027230042964220047,-0.8699906468391418,-0.18076807260513306,0.3508940041065216,-0.9339743256568909,-0.031067049130797386,0.34559139609336853,-1.2874709367752075,-0.08734273910522461,0.31132376194000244,-1.5138823986053467,-0.15196366608142853,0.27288731932640076,-1.7300350666046143,-0.20816130936145782,0.1917041391134262,-0.980684757232666,-0.03881973773241043,0.1834876537322998,-1.3751347064971924,-0.08884603530168533,0.1567637026309967,-1.6473441123962402,-0.15913055837154388,0.13436640799045563,-1.9030934572219849,-0.21519777178764343,0.040674611926078796,-0.9376429915428162,-0.06511607766151428,0.03212573379278183,-1.3244075775146484,-0.12600740790367126,0.018676573410630226,-1.5836073160171509,-0.19593173265457153,-0.0006141091580502689,-1.8160055875778198,-0.2425399273633957,-0.11509290337562561,-0.8323662877082825,-0.1037554070353508,-0.11665403842926025,-1.1532185077667236,-0.15837229788303375,-0.10656597465276718,-1.3706934452056885,-0.19411513209342957,-0.09761308133602142,-1.5710382461547852,-0.2207665592432022
B,0.0,0.0,0.0,0.2566598057746887,-0.11314163357019424,-0.13041675090789795,0.43571510910987854,-0.38551801443099976,-0.18307453393936157,0.4757397472858429,-0.6763745546340942,-0.2262275367975235,0.33100253343582153,-0.756123423576355,-0.27187347412109375,0.2988361716270447,-0.9158648252487183,-0.10139939934015274,0.28993088006973267,-1.2666051387786865,-0.18017993867397308,0.2594434320926666,-1.4926879405975342,-0.2581212520599365,0.22698958218097687,-1.7112298011779785,-0.32079246640205383,0.14271652698516846,-0.9842788577079773,-0.10405286401510239,0.14015814661979675,-1.4231687784194946,-0.17361344397068024,0.1369229108095169,-1.7164784669876099,-0.2470237761735916,0.13101057708263397,-1.9852501153945923,-0.30520737171173096,-0.0069994209334254265,-0.9617214798927307,-0.12120217084884644,-0.003217914840206504,-1.3661835193634033,-0.18678560853004456,0.008466661907732487,-1.628165364265442,-0.24299775063991547,0.016173653304576874,-1.8638423681259155,-0.28470516204833984,-0.16356511414051056,-0.868222713470459,-0.15334367752075195,-0.1688382774591446,-1.187479019165039,-0.21111972630023956,-0.15351344645023346,-1.3963254690170288,-0.24103084206581116,-0.1343872994184494,-1.5883368253707886,-0.26485130190849304
B,0.0,0.0,0.0,0.2145261913537979,-0.1473546177148819,-0.1400694102048874,0.3360009491443634,-0.4402281939983368,-0.193745955824852,0.16974474489688873,-0.6895479559898376,-0.23411454260349274,-0.011494133621454239,-0.7575488686561584,-0.2729843854904175,0.34170064330101013,-0.8961899280548096,-0.0901859849691391,0.34841856360435486,-1.2387791872024536,-0.16475775837898254,0.32452628016471863,-1.46584951877594,-0.23895592987537384,0.29951179027557373,-1.6812573671340942,-0.2994459867477417,0.19061613082885742,-0.9774069786071777,-0.09132971614599228,0.20849435031414032,-1.3874825239181519,-0.15256667137145996,0.20619192719459534,-1.6650804281234741,-0.22590506076812744,0.20967939496040344,-1.925983190536499,-0.28334492444992065,0.050670184195041656,-0.9561272859573364,-0.10994649678468704,0.06388060003519058,-1.3423411846160889,-0.17404694855213165,0.07359229773283005,-1.591896414756775,-0.238028883934021,0.08176519721746445,-1.8181153535842896,-0.2828047573566437,-0.09731163829565048,-0.8553760647773743,-0.1436181664466858,-0.09377611428499222,-1.1513409614562988,-0.19916312396526337,-0.07276982069015503,-1.3438202142715454,-0.2284904569387436,-0.0501340851187706,-1.5233790874481201,-0.25056353211402893
B,0.0,0.0,0.0,0.22638334333896637,-0.18589870631694794,-0.13446690142154694,0.35806336998939514,-0.5054696798324585,-0.17805306613445282,0.2370716780424118,-0.8153082728385925,-0.2096502035856247,0.06738702207803726,-0.9799007177352905,-0.24013157188892365,0.33444467186927795,-0.9078460335731506,-0.06192458048462868,0.3356737792491913,-1.2502230405807495,-0.13400006294250488,0.30632129311561584,-1.4765924215316772,-0.21008950471878052,0.28023549914360046,-1.6979633569717407,-0.27359604835510254,0.1820639967918396,-0.981400191783905,-0.06087915226817131,0.19151870906352997,-1.3960036039352417,-0.1226024478673935,0.18762384355068207,-1.675682544708252,-0.19755896925926208,0.19172395765781403,-1.9408880472183228,-0.25827404856681824,0.04138102009892464,-0.9546723961830139,-0.07902687788009644,0.049801282584667206,-1.3470921516418457,-0.14843443036079407,0.055452607572078705,-1.5939853191375732,-0.20924416184425354,0.05838751047849655,-1.8168041706085205,-0.2524137496948242,-0.111248679459095,-0.8508911728858948,-0.11170897632837296,-0.11003594845533371,-1.1498409509658813,-0.1783159226179123,-0.08999621868133545,-1.3503167629241943,-0.2128223478794098,-0.0697445496916771,-1.5412027835845947,-0.23779085278511047
A,0.0,0.0,0.0,0.27922990918159485,-0.1369803249835968,-0.15810686349868774,0.5009997487068176,-0.4923364520072937,-0.2033083140850067,0.5954653024673462,-0.8118458390235901,-0.22267894446849823,0.7003758549690247,-1.028449535369873,-0.21288414299488068,0.273746520280838,-0.9724335074424744,-0.11795131117105484,0.22456875443458557,-0.9023576378822327,-0.21857942640781403,0.2494775801897049,-0.6471602320671082,-0.2493852823972702,0.2532697319984436,-0.636289119720459,-0.26193851232528687,0.07474739104509354,-0.9937929511070251,-0.08239182084798813,0.01997082307934761,-0.8143726587295532,-0.17750556766986847,0.09645040333271027,-0.5139765739440918,-0.17383113503456116,0.13068321347236633,-0.5557532906532288,-0.15836358070373535,-0.10311651974916458,-0.9169997572898865,-0.06936156004667282,-0.16012446582317352,-0.7801441550254822,-0.18449632823467255,-0.06187250092625618,-0.49784693121910095,-0.1378457248210907,-0.007498201448470354,-0.5199845433235168,-0.08893076330423355,-0.2611373960971832,-0.7946347594261169,-0.07081113755702972,-0.2908006012439728,-0.6906149983406067,-0.15029440820217133,-0.20390520989894867,-0.4851401448249817,-0.12067968398332596,-0.15163947641849518,-0.4759925305843353,-0.07980479300022125
