label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
hello,0.0,0.0,0.0,0.2794639468193054,-0.07501453906297684,-0.14777027070522308,0.5149127840995789,-0.20204608142375946,-0.23124243319034576,0.6962849497795105,-0.3180151581764221,-0.3061242997646332,0.8386351466178894,-0.4060421884059906,-0.37923663854599,0.31384578347206116,-0.8850644826889038,-0.1327504813671112,0.4368225038051605,-1.227913498878479,-0.22271867096424103,0.4948660135269165,-1.4527497291564941,-0.30148762464523315,0.5310176014900208,-1.6581079959869385,-0.360210120677948,0.14165374636650085,-0.9812053442001343,-0.1310354769229889,0.1824202537536621,-1.4174550771713257,-0.20581364631652832,0.19697938859462738,-1.6915992498397827,-0.2765405476093292,0.19406209886074066,-1.917243242263794,-0.33032873272895813,-0.02420264296233654,-0.96727055311203,-0.14562147855758667,-0.04746273532509804,-1.372344732284546,-0.22443914413452148,-0.07548782229423523,-1.6295039653778076,-0.2901335656642914,-0.1058901697397232,-1.8512576818466187,-0.3343888521194458,-0.18605375289916992,-0.8609576225280762,-0.17395831644535065,-0.2748543322086334,-1.1501189470291138,-0.25208932161331177,-0.3306978642940521,-1.3444424867630005,-0.29010555148124695,-0.37270215153694153,-1.5305430889129639,-0.31133612990379333,0.0,0.0,0.0,-0.30098700523376465,-0.043172601610422134,-0.11342905461788177,-0.5956358909606934,-0.16335637867450714,-0.18081386387348175,-0.8086699843406677,-0.27183103561401367,-0.24054372310638428,-0.9798284769058228,-0.3278135657310486,-0.301409512758255,-0.4490964412689209,-0.8471869230270386,-0.09201240539550781,-0.5945748686790466,-1.1817255020141602,-0.16425903141498566,-0.6710075736045837,-1.3825973272323608,-0.2342170774936676,-0.7298116087913513,-1.5626393556594849,-0.29044535756111145,-0.28271058201789856,-0.9531736969947815,-0.10739908367395401,-0.3743779957294464,-1.3693933486938477,-0.16390079259872437,-0.4301156997680664,-1.6146384477615356,-0.22304770350456238,-0.4739534556865692,-1.823664665222168,-0.2726996839046478,-0.1106276735663414,-0.9696742296218872,-0.1412830650806427,-0.15632392466068268,-1.3760430812835693,-0.21379217505455017,-0.19044338166713715,-1.6188528537750244,-0.27174052596092224,-0.222244530916214,-1.8299063444137573,-0.31663644313812256,0.06668628007173538,-0.9143503308296204,-0.18654952943325043,0.1090841218829155,-1.2244560718536377,-0.26012444496154785,0.1312027871608734,-1.4245004653930664,-0.2942773997783661,0.14610353112220764,-1.6103037595748901,-0.3188425302505493
hello,0.0,0.0,0.0,0.281236857175827,-0.07381070405244827,-0.144666850566864,0.5236120820045471,-0.19932270050048828,-0.22635731101036072,0.7009916305541992,-0.3172166645526886,-0.3002813160419464,0.8456135988235474,-0.40408727526664734,-0.3725106716156006,0.32761386036872864,-0.8834959864616394,-0.12470348179340363,0.4509713649749756,-1.224332571029663,-0.2147713601589203,0.513211727142334,-1.4454894065856934,-0.2942352294921875,0.5541165471076965,-1.6467068195343018,-0.3529934287071228,0.15398189425468445,-0.9801644086837769,-0.1247687041759491,0.19602163136005402,-1.4173548221588135,-0.19928979873657227,0.21490690112113953,-1.688191533088684,-0.2716326415538788,0.2173820436000824,-1.9141809940338135,-0.3268790543079376,-0.01207987405359745,-0.969282329082489,-0.1413816660642624,-0.0308645311743021,-1.3706644773483276,-0.22074274718761444,-0.05517753213644028,-1.6259913444519043,-0.28688791394233704,-0.08157525211572647,-1.8493937253952026,-0.33153393864631653,-0.1760680377483368,-0.8684470653533936,-0.17158909142017365,-0.2588464617729187,-1.1607857942581177,-0.2492736279964447,-0.31264230608940125,-1.3538559675216675,-0.28636404871940613,-0.3533972203731537,-1.541886329650879,-0.30722934007644653,0.0,0.0,0.0,-0.2988375723361969,-0.029977545142173767,-0.11990562826395035,-0.5980516076087952,-0.1520654559135437,-0.19207948446273804,-0.8211452960968018,-0.25249239802360535,-0.2550643980503082,-0.9971024394035339,-0.28565940260887146,-0.3186061382293701,-0.4573380947113037,-0.8431236147880554,-0.09958754479885101,-0.6061883568763733,-1.174782395362854,-0.1702200323343277,-0.684156596660614,-1.3733221292495728,-0.2366952896118164,-0.7395758032798767,-1.5521163940429688,-0.29073426127433777,-0.29104307293891907,-0.9499279856681824,-0.11371341347694397,-0.388966828584671,-1.3633683919906616,-0.16902658343315125,-0.4470151960849762,-1.6050721406936646,-0.22548918426036835,-0.49027228355407715,-1.8113285303115845,-0.2737460136413574,-0.1205998957157135,-0.9635326862335205,-0.1467498391866684,-0.17660720646381378,-1.3550153970718384,-0.21683679521083832,-0.21858763694763184,-1.5962207317352295,-0.274859219789505,-0.2542514503002167,-1.811501145362854,-0.3213130235671997,0.05561119690537453,-0.9075517058372498,-0.19196578860282898,0.08928576856851578,-1.2145988941192627,-0.26161205768585205,0.10961537063121796,-1.4196698665618896,-0.2974928319454193,0.1237398236989975,-1.614562749862671,-0.3252859115600586
hello,0.0,0.0,0.0,0.28107497096061707,-0.06733661144971848,-0.148626446723938,0.5212714672088623,-0.19346106052398682,-0.23149709403514862,0.7015992999076843,-0.314495325088501,-0.3051566779613495,0.8447675704956055,-0.40420931577682495,-0.37637296319007874,0.3244920074939728,-0.8790517449378967,-0.1294330507516861,0.4566185772418976,-1.2158278226852417,-0.21958278119564056,0.5209603905677795,-1.4412957429885864,-0.2991882562637329,0.5620094537734985,-1.6478410959243774,-0.35845762491226196,0.15316835045814514,-0.9798756837844849,-0.12799660861492157,0.20096270740032196,-1.4183850288391113,-0.20341619849205017,0.21940380334854126,-1.696150541305542,-0.27523934841156006,0.22052116692066193,-1.9330191612243652,-0.32996946573257446,-0.012354964390397072,-0.973288357257843,-0.14313241839408875,-0.02343731001019478,-1.3779618740081787,-0.22248537838459015,-0.042682841420173645,-1.633838415145874,-0.28658270835876465,-0.06528501212596893,-1.8613202571868896,-0.32981061935424805,-0.17642267048358917,-0.8755548000335693,-0.17233684659004211,-0.256686806678772,-1.169424295425415,-0.24943728744983673,-0.3084390461444855,-1.3646752834320068,-0.2848902642726898,-0.34772586822509766,-1.5556739568710327,-0.3047240078449249,0.0,0.0,0.0,-0.30387789011001587,-0.03808901831507683,-0.11250200122594833,-0.5941607356071472,-0.15135900676250458,-0.1839992254972458,-0.8122348189353943,-0.2547815442085266,-0.24925526976585388,-0.9893674850463867,-0.3128049671649933,-0.31477609276771545,-0.4520392417907715,-0.842256486415863,-0.0921185240149498,-0.6022310256958008,-1.175557255744934,-0.17047405242919922,-0.6803572177886963,-1.3845760822296143,-0.2429533153772354,-0.7368948459625244,-1.5711379051208496,-0.30046728253364563,-0.293209969997406,-0.9495985507965088,-0.11086267232894897,-0.39646852016448975,-1.362809419631958,-0.17428305745124817,-0.4534641206264496,-1.6091833114624023,-0.23459245264530182,-0.49640733003616333,-1.8224620819091797,-0.28377965092658997,-0.12366852164268494,-0.9687458276748657,-0.14861656725406647,-0.18665680289268494,-1.3664065599441528,-0.22766563296318054,-0.2286289930343628,-1.6094310283660889,-0.28515124320983887,-0.26793938875198364,-1.8231635093688965,-0.32882463932037354,0.05734524130821228,-0.9147478938102722,-0.19789594411849976,0.0951584205031395,-1.2273571491241455,-0.2747897505760193,0.114937923848629,-1.4321271181106567,-0.3102320730686188,0.12661610543727875,-1.6249737739562988,-0.3358405828475952
hello,0.0,0.0,0.0,0.2770027220249176,-0.06410206854343414,-0.15903079509735107,0.5114540457725525,-0.1842721402645111,-0.249154731631279,0.6930827498435974,-0.29895955324172974,-0.32795196771621704,0.8384426236152649,-0.38746482133865356,-0.4037042558193207,0.3192844092845917,-0.8731818795204163,-0.14513042569160461,0.4517457187175751,-1.2090294361114502,-0.23992817103862762,0.5156469345092773,-1.4361402988433838,-0.3218924403190613,0.5562461614608765,-1.644551396369934,-0.3828772008419037,0.14967966079711914,-0.9788248538970947,-0.1396348625421524,0.19689883291721344,-1.4202561378479004,-0.21902912855148315,0.21361014246940613,-1.6964114904403687,-0.29096001386642456,0.2132318615913391,-1.930908203125,-0.34545761346817017,-0.0146174356341362,-0.9744310975074768,-0.15125051140785217,-0.025839757174253464,-1.376713514328003,-0.2334447205066681,-0.04310021549463272,-1.6309175491333008,-0.29726025462150574,-0.06462503969669342,-1.8579756021499634,-0.34020376205444336,-0.17752473056316376,-0.8779327273368835,-0.17778678238391876,-0.2597335875034332,-1.168816089630127,-0.25672897696495056,-0.3125239312648773,-1.3628791570663452,-0.2927769720554352,-0.3535979092121124,-1.554557204246521,-0.31312432885169983,0.0,0.0,0.0,-0.30573850870132446,-0.03697570040822029,-0.11122211068868637,-0.5931843519210815,-0.15175536274909973,-0.18348544836044312,-0.809426486492157,-0.25475767254829407,-0.24982498586177826,-0.9854950308799744,-0.31854307651519775,-0.3165687918663025,-0.4489456117153168,-0.8434534668922424,-0.09254913777112961,-0.5968245267868042,-1.1765626668930054,-0.170713871717453,-0.6743772625923157,-1.3848508596420288,-0.2438480257987976,-0.731441080570221,-1.5715140104293823,-0.30197766423225403,-0.28960418701171875,-0.9504682421684265,-0.11286996304988861,-0.39136484265327454,-1.3650577068328857,-0.17577941715717316,-0.44977331161499023,-1.6133993864059448,-0.23669305443763733,-0.4942843019962311,-1.8269543647766113,-0.2864663600921631,-0.11921890825033188,-0.9670608639717102,-0.15182800590991974,-0.18281584978103638,-1.3670074939727783,-0.22885163128376007,-0.2263544499874115,-1.6083972454071045,-0.2855423092842102,-0.2678496241569519,-1.8210406303405762,-0.32938480377197266,0.06204512342810631,-0.9096933603286743,-0.20232003927230835,0.09877780079841614,-1.224265694618225,-0.2776896357536316,0.11730503290891647,-1.4293726682662964,-0.312250554561615,0.12714223563671112,-1.6228872537612915,-0.33743005990982056
hello,0.0,0.0,0.0,0.2754455804824829,-0.06830835342407227,-0.16114716231822968,0.5084550976753235,-0.19173690676689148,-0.2526056170463562,0.6868144869804382,-0.3031039535999298,-0.3324539363384247,0.8304048776626587,-0.3907979428768158,-0.40914422273635864,0.3128759264945984,-0.8765887022018433,-0.1476929783821106,0.4424387812614441,-1.2136356830596924,-0.24344654381275177,0.5055416822433472,-1.4414737224578857,-0.32611608505249023,0.5461156368255615,-1.6502535343170166,-0.3874184489250183,0.14271633327007294,-0.9796245098114014,-0.14130738377571106,0.18630290031433105,-1.4180432558059692,-0.22134894132614136,0.20151998102664948,-1.6949937343597412,-0.2941451966762543,0.20031270384788513,-1.930578351020813,-0.34926602244377136,-0.02167489379644394,-0.9729382991790771,-0.15216022729873657,-0.03472679480910301,-1.3749672174453735,-0.23471638560295105,-0.05508833006024361,-1.6306722164154053,-0.299679696559906,-0.07923412322998047,-1.8587687015533447,-0.3433302938938141,-0.1841038167476654,-0.8748525381088257,-0.1780444234609604,-0.26638251543045044,-1.1657160520553589,-0.2572125494480133,-0.3203016221523285,-1.3601728677749634,-0.29398417472839355,-0.36250224709510803,-1.551299810409546,-0.31477081775665283,0.0,0.0,0.0,-0.30736255645751953,-0.03720252588391304,-0.1133127436041832,-0.5904871225357056,-0.14608049392700195,-0.18776987493038177,-0.8043677806854248,-0.2471647560596466,-0.25599631667137146,-0.9805316925048828,-0.3136853575706482,-0.32436272501945496,-0.4485224783420563,-0.8421167731285095,-0.09357462078332901,-0.5987794399261475,-1.1734941005706787,-0.1719045490026474,-0.6774626970291138,-1.3799049854278564,-0.24553155899047852,-0.7350128889083862,-1.5670303106307983,-0.3038631081581116,-0.2894919812679291,-0.9504097104072571,-0.11364748328924179,-0.39408421516418457,-1.3628571033477783,-0.17618945240974426,-0.4555792808532715,-1.6121159791946411,-0.23788487911224365,-0.5021095871925354,-1.8264726400375366,-0.2883324921131134,-0.11952710151672363,-0.9669097065925598,-0.1524946689605713,-0.18182864785194397,-1.3638275861740112,-0.22857236862182617,-0.22542934119701385,-1.6062560081481934,-0.28595608472824097,-0.2661755084991455,-1.8198744058609009,-0.33053022623062134,0.06092485412955284,-0.9088171124458313,-0.20315802097320557,0.09715276956558228,-1.2219823598861694,-0.2782401144504547,0.11448851227760315,-1.4281283617019653,-0.31295958161354065,0.12382269650697708,-1.6228172779083252,-0.3382028341293335
hello,0.0,0.0,0.0,0.2782415449619293,-0.0822136327624321,-0.1632690578699112,0.5093212127685547,-0.2173258364200592,-0.25551271438598633,0.6849314570426941,-0.328879177570343,-0.33585062623023987,0.82187420129776,-0.41606849431991577,-0.41390863060951233,0.2969202697277069,-0.8907020688056946,-0.15564560890197754,0.41757848858833313,-1.2326486110687256,-0.2531832754611969,0.47518524527549744,-1.463951587677002,-0.33639487624168396,0.5103212594985962,-1.6746716499328613,-0.39797645807266235,0.12098416686058044,-0.9814417958259583,-0.14877769351005554,0.14901883900165558,-1.4204235076904297,-0.2308455854654312,0.15545877814292908,-1.6991398334503174,-0.304248571395874,0.14648981392383575,-1.9324967861175537,-0.3597199618816376,-0.04560030624270439,-0.9610756635665894,-0.1590200662612915,-0.07304216176271439,-1.363055944442749,-0.24364612996578217,-0.10327795147895813,-1.6207613945007324,-0.3113437592983246,-0.13565130531787872,-1.8485690355300903,-0.35660597681999207,-0.20451569557189941,-0.8503767848014832,-0.18428005278110504,-0.29880836606025696,-1.1382678747177124,-0.26637160778045654,-0.35889071226119995,-1.3328022956848145,-0.3065710961818695,-0.40547239780426025,-1.5243126153945923,-0.3295651972293854,0.0,0.0,0.0,-0.30509889125823975,-0.04054296016693115,-0.11663355678319931,-0.5870345830917358,-0.15050840377807617,-0.19475680589675903,-0.798999547958374,-0.25475919246673584,-0.2659865617752075,-0.9720450639724731,-0.32995137572288513,-0.33718135952949524,-0.43668708205223083,-0.8499835133552551,-0.10325653851032257,-0.5856707096099854,-1.187650442123413,-0.18503642082214355,-0.6641470789909363,-1.3951343297958374,-0.26049238443374634,-0.722214937210083,-1.5844963788986206,-0.3200998306274414,-0.27430832386016846,-0.9536983966827393,-0.12334629893302917,-0.3782758414745331,-1.3696000576019287,-0.1895100474357605,-0.4393499791622162,-1.6207128763198853,-0.25338616967201233,-0.48618873953819275,-1.8370472192764282,-0.3053323030471802,-0.10155448317527771,-0.9649999141693115,-0.1620473563671112,-0.1609848290681839,-1.364688754081726,-0.2410585731267929,-0.20078325271606445,-1.6139715909957886,-0.299559086561203,-0.2392236739397049,-1.8340612649917603,-0.34470611810684204,0.08075379580259323,-0.9015259742736816,-0.21269471943378448,0.11878348886966705,-1.218600869178772,-0.28981655836105347,0.13599395751953125,-1.430004358291626,-0.32569125294685364,0.14328305423259735,-1.6299527883529663,-0.3517756164073944
hello,0.0,0.0,0.0,0.2859887480735779,-0.08199921250343323,-0.16300569474697113,0.5204996466636658,-0.2272200584411621,-0.2541849613189697,0.6922510266304016,-0.35299819707870483,-0.33350870013237,0.8406527638435364,-0.4356983006000519,-0.41090404987335205,0.2919434905052185,-0.8912708163261414,-0.15886680781841278,0.40971022844314575,-1.238402247428894,-0.2576713263988495,0.46634840965270996,-1.4746474027633667,-0.3403535783290863,0.5008456110954285,-1.689320683479309,-0.40190115571022034,0.11529740691184998,-0.9815190434455872,-0.1527310013771057,0.13653148710727692,-1.4244822263717651,-0.2379840612411499,0.14070874452590942,-1.7067363262176514,-0.3130131959915161,0.12989318370819092,-1.9472777843475342,-0.3693848252296448,-0.05085926875472069,-0.9607199430465698,-0.16308282315731049,-0.08485423028469086,-1.362840175628662,-0.2507860064506531,-0.11711094528436661,-1.6209185123443604,-0.3194369673728943,-0.15155501663684845,-1.8509771823883057,-0.3649490177631378,-0.20875534415245056,-0.8489657640457153,-0.1882442831993103,-0.30811983346939087,-1.136422038078308,-0.2723362445831299,-0.370918333530426,-1.3304661512374878,-0.31355270743370056,-0.42061617970466614,-1.5213326215744019,-0.3371548652648926,0.0,0.0,0.0,-0.30387765169143677,-0.041611190885305405,-0.11778906732797623,-0.58717942237854,-0.15666548907756805,-0.1950748860836029,-0.800616979598999,-0.26551443338394165,-0.26495668292045593,-0.9733625054359436,-0.3472076952457428,-0.3348099887371063,-0.4331125020980835,-0.8516502380371094,-0.10574169456958771,-0.5789884924888611,-1.1935265064239502,-0.1870894581079483,-0.6567947864532471,-1.403355598449707,-0.26192590594291687,-0.7151826024055481,-1.5943580865859985,-0.32139742374420166,-0.2698959708213806,-0.9548124670982361,-0.12445610761642456,-0.3675447702407837,-1.374224305152893,-0.19063307344913483,-0.42572012543678284,-1.6270601749420166,-0.25431028008461,-0.4707314372062683,-1.8441308736801147,-0.3063662350177765,-0.09722363203763962,-0.9640511870384216,-0.16165508329868317,-0.15045766532421112,-1.368669867515564,-0.24163009226322174,-0.18662779033184052,-1.6191385984420776,-0.30131766200065613,-0.22309289872646332,-1.840254306793213,-0.34731367230415344,0.08404945582151413,-0.8981632590293884,-0.21060782670974731,0.12779343128204346,-1.2156122922897339,-0.2894904911518097,0.14926572144031525,-1.4278405904769897,-0.3272278904914856,0.1604195237159729,-1.6298288106918335,-0.3546568751335144
hello,0.0,0.0,0.0,0.2806093692779541,-0.09129662066698074,-0.16883724927902222,0.5199593305587769,-0.247514545917511,-0.26730749011039734,0.7082076668739319,-0.37536919116973877,-0.3541202247142792,0.8671961426734924,-0.4500860571861267,-0.440463662147522,0.27371877431869507,-0.900815486907959,-0.17530736327171326,0.39261630177497864,-1.2583818435668945,-0.28325289487838745,0.4503677189350128,-1.5012012720108032,-0.37081554532051086,0.48715803027153015,-1.7220654487609863,-0.4354855716228485,0.09294067323207855,-0.9807366728782654,-0.17180722951889038,0.10234981030225754,-1.4340078830718994,-0.26596006751060486,0.10241091996431351,-1.7210869789123535,-0.34461143612861633,0.09055694937705994,-1.9666193723678589,-0.4031994640827179,-0.07534092664718628,-0.9476723074913025,-0.18498511612415314,-0.11902209371328354,-1.359748363494873,-0.28197285532951355,-0.1585998833179474,-1.6272401809692383,-0.35407397150993347,-0.19763682782649994,-1.8644005060195923,-0.4011242091655731,-0.23224930465221405,-0.8250128030776978,-0.21321561932563782,-0.34618663787841797,-1.1141653060913086,-0.30620887875556946,-0.41765138506889343,-1.3131550550460815,-0.35131460428237915,-0.4740484654903412,-1.5111651420593262,-0.37693309783935547,0.0,0.0,0.0,-0.2991231381893158,-0.06205351650714874,-0.11972353607416153,-0.5811231136322021,-0.1903790682554245,-0.19876357913017273,-0.798312246799469,-0.30031105875968933,-0.2699022591114044,-0.976916491985321,-0.3859241306781769,-0.3405283987522125,-0.4133228361606598,-0.8637732863426208,-0.10987748205661774,-0.5513254404067993,-1.217726707458496,-0.1947597861289978,-0.6255031824111938,-1.4372442960739136,-0.27038416266441345,-0.6815961003303528,-1.628463625907898,-0.3283427953720093,-0.24814920127391815,-0.9603014588356018,-0.1274482011795044,-0.33361250162124634,-1.3898797035217285,-0.19482390582561493,-0.38535404205322266,-1.6517894268035889,-0.25967270135879517,-0.42634057998657227,-1.8753665685653687,-0.31016507744789124,-0.07450936734676361,-0.964527428150177,-0.16304852068424225,-0.1158725917339325,-1.375925898551941,-0.24261406064033508,-0.1399836540222168,-1.6297849416732788,-0.3034075200557709,-0.16412414610385895,-1.848261833190918,-0.3477298319339752,0.1026739850640297,-0.8899549245834351,-0.210184246301651,0.15684345364570618,-1.1983284950256348,-0.2877441644668579,0.18811631202697754,-1.4094411134719849,-0.32416802644729614,0.21112434566020966,-1.6035946607589722,-0.34832683205604553
hello,0.0,0.0,0.0,0.27734968066215515,-0.10748391598463058,-0.15559962391853333,0.5105948448181152,-0.2760579288005829,-0.24648605287075043,0.6999439597129822,-0.4201774597167969,-0.3295314311981201,0.8745855093002319,-0.49389973282814026,-0.4143177568912506,0.27230724692344666,-0.9137263298034668,-0.15712223947048187,0.3849889636039734,-1.280815601348877,-0.26009616255760193,0.4389985501766205,-1.520737886428833,-0.3469066023826599,0.4699237644672394,-1.7418524026870728,-0.41210779547691345,0.08334698528051376,-0.9834185838699341,-0.16106276214122772,0.08467753231525421,-1.4376248121261597,-0.2520277202129364,0.07492455095052719,-1.727111577987671,-0.335382878780365,0.05373106896877289,-1.9750381708145142,-0.3990355134010315,-0.09275884926319122,-0.9443047046661377,-0.18063364923000336,-0.13680540025234222,-1.3620643615722656,-0.2738807201385498,-0.17779064178466797,-1.632119059562683,-0.3490172028541565,-0.2177140712738037,-1.8697673082351685,-0.40006282925605774,-0.25799062848091125,-0.8186494708061218,-0.2142617255449295,-0.36939889192581177,-1.1145375967025757,-0.3063145577907562,-0.44686514139175415,-1.3142900466918945,-0.35254529118537903,-0.5104807615280151,-1.5120806694030762,-0.3796909749507904,0.0,0.0,0.0,-0.2810874879360199,-0.0704679861664772,-0.12050503492355347,-0.549642026424408,-0.21799318492412567,-0.2011091411113739,-0.765059769153595,-0.33397072553634644,-0.2737814784049988,-0.9494696259498596,-0.41211220622062683,-0.34634044766426086,-0.38805994391441345,-0.874542236328125,-0.10856036841869354,-0.5205656290054321,-1.220659613609314,-0.19486095011234283,-0.5900136828422546,-1.4388537406921387,-0.2713196873664856,-0.6409570574760437,-1.632411241531372,-0.33030688762664795,-0.22151897847652435,-0.966899037361145,-0.12663143873214722,-0.3044787347316742,-1.3849579095840454,-0.19635212421417236,-0.35207751393318176,-1.6481086015701294,-0.2630358338356018,-0.38872116804122925,-1.8761330842971802,-0.31498396396636963,-0.04479138180613518,-0.9623941779136658,-0.16290655732154846,-0.08032379299402237,-1.3641955852508545,-0.24648112058639526,-0.0978594645857811,-1.6215953826904297,-0.3093715310096741,-0.117851123213768,-1.8463178873062134,-0.3546128273010254,0.13422435522079468,-0.8799923658370972,-0.2102922797203064,0.18972143530845642,-1.1861612796783447,-0.2881251573562622,0.22185108065605164,-1.3946913480758667,-0.3241051435470581,0.2421950101852417,-1.5887638330459595,-0.34890666604042053
hello,0.0,0.0,0.0,0.2535356879234314,-0.06928404420614243,-0.19677209854125977,0.47554054856300354,-0.21469877660274506,-0.3138791024684906,0.6612061858177185,-0.3447347581386566,-0.4125676155090332,0.8364133834838867,-0.43640264868736267,-0.510078489780426,0.261677622795105,-0.8899567127227783,-0.2118893265724182,0.38299819827079773,-1.266112208366394,-0.32675835490226746,0.4414886236190796,-1.5182418823242188,-0.41921043395996094,0.47679346799850464,-1.7533173561096191,-0.4885645806789398,0.07265791296958923,-0.9776985049247742,-0.19704440236091614,0.08850983530282974,-1.4435725212097168,-0.2991253733634949,0.08213864266872406,-1.7456281185150146,-0.38760629296302795,0.06167149171233177,-2.0096747875213623,-0.45468297600746155,-0.10194909572601318,-0.9519224166870117,-0.19966426491737366,-0.1380198895931244,-1.3889161348342896,-0.3046513795852661,-0.17584528028964996,-1.6657776832580566,-0.3872077465057373,-0.21627043187618256,-1.9139442443847656,-0.44166460633277893,-0.27053800225257874,-0.8364585638046265,-0.21850435435771942,-0.37147098779678345,-1.1648589372634888,-0.3160497546195984,-0.4436710774898529,-1.373036503791809,-0.3670555651187897,-0.5046737194061279,-1.579270601272583,-0.39823734760284424,0.0,0.0,0.0,-0.26991164684295654,-0.059282731264829636,-0.13049718737602234,-0.528782844543457,-0.23715466260910034,-0.2122274935245514,-0.7398307919502258,-0.3861498534679413,-0.28046613931655884,-0.9138298034667969,-0.4960622787475586,-0.35011255741119385,-0.36139318346977234,-0.8722070455551147,-0.1369009166955948,-0.475559800863266,-1.242490291595459,-0.2243243157863617,-0.5341677069664001,-1.4675124883651733,-0.3019568622112274,-0.582550048828125,-1.6762648820877075,-0.3618026375770569,-0.193191796541214,-0.9708591103553772,-0.14180800318717957,-0.2443043738603592,-1.4074323177337646,-0.21847988665103912,-0.2740618586540222,-1.686354398727417,-0.28977063298225403,-0.29905831813812256,-1.9375420808792114,-0.34635478258132935,-0.03228696435689926,-0.9545727372169495,-0.16116401553153992,-0.01993972435593605,-1.3789244890213013,-0.24726353585720062,0.002456970978528261,-1.658132791519165,-0.310814768075943,0.01702176220715046,-1.8968555927276611,-0.35766446590423584,0.11283976584672928,-0.864111602306366,-0.19030354917049408,0.17226916551589966,-1.1826248168945312,-0.26456284523010254,0.22093269228935242,-1.3671303987503052,-0.2915196418762207,0.25862550735473633,-1.530802607536316,-0.311850368976593
